Timestamp (Elapsed time in seconds),PC + DisplayLatency(MSec),Mouse Latency(MSec),System Latency (MSec),
0.629,8.800,-0.001,N/A
1.181,6.000,-0.001,N/A
1.621,4.700,-0.001,N/A
2.172,6.100,-0.001,N/A
2.614,6.300,-0.001,N/A
3.165,5.800,-0.001,N/A
3.605,5.000,-0.001,N/A
4.154,5.900,-0.001,N/A
4.707,5.100,-0.001,N/A
5.149,5.400,-0.001,N/A
5.701,5.500,-0.001,N/A
6.141,5.700,-0.001,N/A
6.691,5.100,-0.001,N/A
7.132,4.400,-0.001,N/A
7.686,5.600,-0.001,N/A
8.239,5.800,-0.001,N/A
8.681,6.900,-0.001,N/A
9.235,6.000,-0.001,N/A
9.675,5.800,-0.001,N/A
10.227,6.400,-0.001,N/A
11.216,6.900,-0.001,N/A
11.216,5.600,-0.001,N/A
11.766,5.800,-0.001,N/A
12.205,6.300,-0.001,N/A
12.205,5.400,-0.001,N/A
12.757,4.700,-0.001,N/A
13.749,4.600,-0.001,N/A
14.302,5.300,-0.001,N/A
14.302,5.500,-0.001,N/A
15.297,5.400,-0.001,N/A
15.297,5.300,-0.001,N/A
16.293,4.800,-0.001,N/A
16.734,7.400,-0.001,N/A
17.284,4.900,-0.001,N/A
17.838,5.200,-0.001,N/A
17.838,5.600,-0.001,N/A
18.830,5.200,-0.001,N/A
19.273,6.000,-0.001,N/A
19.824,5.900,-0.001,N/A
20.264,5.800,-0.001,N/A
20.815,5.600,-0.001,N/A
21.365,4.500,-0.001,N/A
21.806,5.400,-0.001,N/A
22.358,5.100,-0.001,N/A
22.801,5.100,-0.001,N/A
23.352,4.200,-0.001,N/A
23.792,4.500,-0.001,N/A
24.343,4.400,-0.001,N/A
24.894,5.700,-0.001,N/A
24.894,5.200,-0.001,N/A
25.336,4.900,-0.001,N/A
25.885,4.700,-0.001,N/A
26.327,6.000,-0.001,N/A
26.878,5.600,-0.001,N/A
27.321,6.000,-0.001,N/A
27.873,5.400,-0.001,N/A
28.422,6.400,-0.001,N/A
28.866,4.700,-0.001,N/A
29.417,4.600,-0.001,N/A
30.411,5.900,-0.001,N/A
30.411,6.300,-0.001,N/A
31.405,4.800,-0.001,N/A
31.957,5.000,-0.001,N/A
31.957,5.800,-0.001,N/A
32.953,6.200,-0.001,N/A
32.953,5.600,-0.001,N/A
33.946,5.400,-0.001,N/A
33.946,5.400,-0.001,N/A
34.936,6.600,-0.001,N/A
35.489,4.500,-0.001,N/A
35.930,5.000,-0.001,N/A
36.482,4.200,-0.001,N/A
36.922,5.800,-0.001,N/A
37.473,5.700,-0.001,N/A
38.025,6.100,-0.001,N/A
38.025,4.700,-0.001,N/A
38.467,6.100,-0.001,N/A
39.021,4.900,-0.001,N/A
39.461,4.300,-0.001,N/A
40.014,5.700,-0.001,N/A
40.456,6.100,-0.001,N/A
41.011,5.900,-0.001,N/A
41.563,5.600,-0.001,N/A
42.005,4.300,-0.001,N/A
42.557,5.800,-0.001,N/A
42.999,4.400,-0.001,N/A
43.553,5.300,-0.001,N/A
43.995,5.500,-0.001,N/A
44.549,5.100,-0.001,N/A
45.101,4.300,-0.001,N/A
45.543,5.800,-0.001,N/A
46.093,4.800,-0.001,N/A
47.086,6.200,-0.001,N/A
47.086,4.700,-0.001,N/A
48.084,5.900,-0.001,N/A
48.084,5.500,-0.001,N/A
49.078,7.100,-0.001,N/A
49.078,5.500,-0.001,N/A
50.073,4.800,-0.001,N/A
50.625,5.900,-0.001,N/A
50.625,5.500,-0.001,N/A
51.066,5.000,-0.001,N/A
51.618,4.600,-0.001,N/A
52.168,4.800,-0.001,N/A
52.608,6.200,-0.001,N/A
53.161,4.500,-0.001,N/A
53.602,5.900,-0.001,N/A
54.152,5.900,-0.001,N/A
54.593,6.300,-0.001,N/A
55.144,5.700,-0.001,N/A
55.696,4.700,-0.001,N/A
56.138,4.500,-0.001,N/A
56.689,5.200,-0.001,N/A
57.131,5.900,-0.001,N/A
57.682,5.800,-0.001,N/A
58.122,4.400,-0.001,N/A
58.671,5.700,-0.001,N/A
59.222,5.400,-0.001,N/A
59.664,5.600,-0.001,N/A
