Timestamp (Elapsed time in seconds),PID,FPS,FPS 1(%) Low,Render Latency(MSec),Average PC Latency(MSec),CPU Utilization(%),CPU Power(Watts),CPU Frequency(MHz),CPU Package Temperature(Celsius),GPU1 Utilization(%),GPU1 Temperature(Degrees celsius),GPU1 Frequency(MHz),GPU1 Memory Frequency(MHz),GPU1 Voltage(Milli Volts),GPU1 Fan1 Speed (RPM),GPU1 Fan2 Speed (RPM),GPU2 Utilization(%),GPU2 Temperature(Degrees celsius),GPU2 Frequency(MHz),GPU2 Memory Frequency(MHz),GPU2 Voltage(Milli Volts),GPU2 Fan1 Speed (RPM),GPU2 Fan2 Speed (RPM),
0.000,9532,470.392,226.501,0.371,4.346,68.000,N/A,4421.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.480,9532,474.442,239.745,0.639,4.373,72.000,N/A,4449.000,N/A,29.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.983,9532,472.397,279.174,0.379,4.496,71.000,N/A,4444.000,N/A,29.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.484,9532,480.892,244.481,0.390,4.434,68.000,N/A,4404.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.986,9532,470.367,257.646,0.361,4.565,68.000,N/A,4415.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2.488,9532,471.708,200.321,0.466,4.506,68.000,N/A,4414.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.001,9532,496.285,324.044,0.358,4.287,68.000,N/A,4402.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.506,9532,486.130,266.795,0.365,4.510,68.000,N/A,4409.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4.021,9532,492.472,299.177,0.377,4.524,68.000,N/A,4411.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4.537,9532,485.808,282.032,0.390,4.510,69.000,N/A,4436.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5.050,9532,502.630,317.612,0.408,4.658,68.000,N/A,4416.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5.554,9532,505.572,279.932,0.351,4.563,68.000,N/A,4413.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.068,9532,510.887,342.618,0.382,4.115,68.000,N/A,4416.000,N/A,30.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.570,9532,496.243,318.766,0.380,4.135,69.000,N/A,4436.000,N/A,29.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.084,9532,465.737,290.385,0.413,4.288,61.000,N/A,4341.000,N/A,28.000,34.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.585,9532,466.471,244.714,0.320,4.266,58.000,N/A,4326.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.087,9532,506.990,331.433,0.355,4.497,54.000,N/A,4274.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.602,9532,494.755,294.759,0.357,4.713,54.000,N/A,4290.000,N/A,29.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9.117,9532,506.280,336.632,0.377,4.490,54.000,N/A,4265.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9.632,9532,474.698,271.010,0.392,4.762,53.000,N/A,4277.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.133,9532,497.460,302.581,0.369,4.476,64.000,N/A,4394.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.650,9532,489.332,307.069,0.409,4.273,78.000,N/A,4544.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11.165,9532,484.682,301.777,0.375,4.295,83.000,N/A,4583.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11.668,9532,484.355,290.267,0.356,4.128,82.000,N/A,4574.000,N/A,26.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12.183,9532,475.554,285.976,0.382,4.295,83.000,N/A,4594.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12.684,9532,475.704,305.998,0.320,4.426,83.000,N/A,4591.000,N/A,26.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13.190,9532,492.779,293.669,0.364,4.411,83.000,N/A,4596.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13.705,9532,497.959,323.908,0.323,4.490,83.000,N/A,4598.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14.220,9532,500.836,301.241,0.359,4.245,83.000,N/A,4596.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14.722,9532,482.193,269.607,0.401,4.239,83.000,N/A,4585.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15.224,9532,464.148,268.025,0.374,4.418,83.000,N/A,4591.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15.729,9532,485.211,299.294,0.367,4.273,84.000,N/A,4589.000,N/A,26.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16.244,9532,499.307,312.715,0.375,4.337,81.000,N/A,4574.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16.758,9532,497.572,326.360,0.375,4.417,68.000,N/A,4402.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.270,9532,493.117,313.254,0.394,4.453,69.000,N/A,4422.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.773,9532,487.578,294.559,0.395,4.375,68.000,N/A,4419.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18.289,9532,486.355,320.636,0.453,4.299,70.000,N/A,4451.000,N/A,28.000,34.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18.804,9532,509.807,326.797,0.377,3.988,68.000,N/A,4423.000,N/A,26.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19.307,9532,511.623,341.565,0.422,4.014,69.000,N/A,4432.000,N/A,29.000,34.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19.821,9532,509.077,290.841,0.345,4.198,68.000,N/A,4417.000,N/A,29.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20.337,9532,498.363,296.894,0.320,4.397,68.000,N/A,4414.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20.849,9532,467.435,266.930,0.356,4.597,57.000,N/A,4306.000,N/A,26.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21.365,9532,480.189,312.950,0.410,4.706,55.000,N/A,4309.000,N/A,26.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21.880,9532,488.920,260.600,0.329,4.652,55.000,N/A,4314.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22.395,9532,480.273,291.724,0.375,4.453,54.000,N/A,4305.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22.896,9532,489.718,284.325,0.359,4.192,54.000,N/A,4261.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23.397,9532,486.391,275.991,0.368,4.132,54.000,N/A,4276.000,N/A,27.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23.900,9532,477.055,289.235,0.357,4.111,54.000,N/A,4261.000,N/A,26.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24.400,9532,504.850,289.931,0.379,3.926,54.000,N/A,4282.000,N/A,26.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24.916,9532,482.821,262.909,0.397,4.087,55.000,N/A,4290.000,N/A,28.000,33.000,2625.000,11201.000,0.960,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
