Timestamp (Elapsed time in seconds),PC + DisplayLatency(MSec),Mouse Latency(MSec),System Latency (MSec),
5.507,3.700,-0.001,N/A
5.507,3.600,-0.001,N/A
6.503,3.500,-0.001,N/A
6.503,3.400,-0.001,N/A
7.500,3.400,-0.001,N/A
7.500,3.300,-0.001,N/A
7.500,4.900,-0.001,N/A
7.500,4.800,-0.001,N/A
8.604,3.100,-0.001,N/A
9.597,4.600,-0.001,N/A
9.597,4.600,-0.001,N/A
10.591,4.500,-0.001,N/A
10.591,4.400,-0.001,N/A
11.587,4.300,-0.001,N/A
11.587,4.200,-0.001,N/A
12.585,4.200,-0.001,N/A
12.585,4.100,-0.001,N/A
13.582,4.000,-0.001,N/A
13.582,3.900,-0.001,N/A
14.576,3.900,-0.001,N/A
14.576,3.800,-0.001,N/A
15.572,3.700,-0.001,N/A
16.675,3.600,-0.001,N/A
16.675,3.500,-0.001,N/A
17.671,3.500,-0.001,N/A
17.671,5.000,-0.001,N/A
18.666,5.000,-0.001,N/A
18.666,4.900,-0.001,N/A
18.666,4.800,-0.001,N/A
19.663,4.700,-0.001,N/A
20.659,4.600,-0.001,N/A
20.659,4.600,-0.001,N/A
20.659,4.500,-0.001,N/A
20.659,4.400,-0.001,N/A
21.655,4.300,-0.001,N/A
21.655,4.200,-0.001,N/A
22.649,4.200,-0.001,N/A
23.757,4.100,-0.001,N/A
23.757,4.000,-0.001,N/A
24.756,3.900,-0.001,N/A
24.756,3.900,-0.001,N/A
25.749,3.800,-0.001,N/A
25.749,3.700,-0.001,N/A
26.746,3.600,-0.001,N/A
26.746,3.500,-0.001,N/A
27.740,3.500,-0.001,N/A
27.740,3.400,-0.001,N/A
28.733,3.300,-0.001,N/A
28.733,3.200,-0.001,N/A
29.839,3.200,-0.001,N/A
30.836,4.700,-0.001,N/A
30.836,4.600,-0.001,N/A
31.833,4.600,-0.001,N/A
31.833,4.500,-0.001,N/A
31.833,4.400,-0.001,N/A
32.828,4.300,-0.001,N/A
32.828,4.300,-0.001,N/A
33.823,4.200,-0.001,N/A
33.823,4.100,-0.001,N/A
34.818,4.000,-0.001,N/A
34.818,2.300,-0.001,N/A
35.813,3.800,-0.001,N/A
35.813,3.800,-0.001,N/A
36.808,3.700,-0.001,N/A
36.808,3.600,-0.001,N/A
37.913,3.500,-0.001,N/A
37.913,3.400,-0.001,N/A
38.907,3.400,-0.001,N/A
