DPC/ISR Enter Time (s),Type,Duration (Fragmented) (ms)
"20,481744900",DPC,"0,008600"
"20,962744200",Interrupt,"0,003800"
"20,962755200",DPC,"0,018700"
"20,981740700",Interrupt,"0,002200"
"20,981744200",DPC,"0,007700"
"21,462741200",Interrupt,"0,003200"
"21,462745600",DPC,"0,013200"
"21,481740900",Interrupt,"0,002300"
"21,481744400",DPC,"0,008200"
"21,962741600",Interrupt,"0,002900"
"21,962745700",DPC,"0,012200"
"21,981741600",Interrupt,"0,002400"
"21,981745200",DPC,"0,009000"
"22,462742300",Interrupt,"0,002800"
"22,462746300",DPC,"0,012600"
"22,481741900",Interrupt,"0,002400"
"22,481745600",DPC,"0,008400"
"22,962742800",Interrupt,"0,002400"
"22,962749800",DPC,"0,012500"
"22,981742800",Interrupt,"0,002100"
"22,981746100",DPC,"0,007900"
"23,462743200",Interrupt,"0,002700"
"23,462747000",DPC,"0,013300"
"23,481743500",Interrupt,"0,002300"
"23,481746900",DPC,"0,008500"
"23,962743500",Interrupt,"0,002800"
"23,962747500",DPC,"0,012600"
"23,981743500",Interrupt,"0,002200"
"23,981747000",DPC,"0,007700"
"24,462744000",Interrupt,"0,002600"
"24,462747700",DPC,"0,012900"
"24,481744000",Interrupt,"0,002300"
"24,481747400",DPC,"0,008200"
"24,962746100",Interrupt,"0,002900"
"24,962750100",DPC,"0,012300"
"24,981744500",Interrupt,"0,002100"
"24,981747800",DPC,"0,007500"
"25,462745100",Interrupt,"0,003400"
"25,462749700",DPC,"0,016700"
"25,481745100",Interrupt,"0,002700"
"25,481749000",DPC,"0,011600"
"25,962745700",Interrupt,"0,002800"
"25,962749700",DPC,"0,012800"
"25,981745700",Interrupt,"0,002500"
"25,981749400",DPC,"0,009000"
"26,462749600",Interrupt,"0,002700"
"26,462753500",DPC,"0,012200"
"26,481745800",Interrupt,"0,002400"
"26,481749300",DPC,"0,007900"
"26,962751400",Interrupt,"0,002400"
"26,962760500",DPC,"0,019000"
"26,981747400",Interrupt,"0,002300"
"26,981751000",DPC,"0,008100"
"27,462747100",Interrupt,"0,003600"
"27,462751900",DPC,"0,016700"
"27,481747000",Interrupt,"0,002100"
"27,481750300",DPC,"0,008100"
"27,962747400",Interrupt,"0,002800"
"27,962751400",DPC,"0,012800"
"27,981747600",Interrupt,"0,002400"
"27,981751200",DPC,"0,008400"
"28,462747700",Interrupt,"0,002600"
"28,462752200",DPC,"0,012700"
"28,481747900",Interrupt,"0,002100"
"28,481751100",DPC,"0,007700"
"28,962756800",Interrupt,"0,002200"
"28,962767000",DPC,"0,015700"
"28,981766900",Interrupt,"0,001700"
"28,981793900",DPC,"0,007300"
"29,462754000",Interrupt,"0,003200"
"29,462767800",DPC,"0,015500"
"29,481748900",Interrupt,"0,002200"
"29,481752200",DPC,"0,007900"
"29,962760800",Interrupt,"0,002600"
"29,962799600",DPC,"0,017100"
"29,981749500",Interrupt,"0,002200"
"29,981752800",DPC,"0,008000"
"30,462749900",Interrupt,"0,002800"
"30,462753900",DPC,
"30,481749600",Interrupt,"0,002400"
"30,481753200",DPC,"0,008800"
"30,962750600",Interrupt,"0,002700"
"30,962754500",DPC,
"30,981750100",Interrupt,"0,002500"
"30,981753900",DPC,"0,011100"
"31,462750900",Interrupt,"0,003100"
"31,462755200",DPC,"0,013400"
"31,481750700",Interrupt,"0,002300"
"31,481754200",DPC,"0,008700"
"31,962753900",Interrupt,"0,002400"
"31,962763100",DPC,"0,011900"
"31,981751100",Interrupt,"0,002300"
"31,981754500",DPC,"0,007600"
"32,462752000",Interrupt,"0,002700"
"32,462755800",DPC,"0,012500"
"32,481752100",Interrupt,"0,002100"
"32,481755400",DPC,"0,007700"
"32,962752500",Interrupt,"0,002800"
"32,962756400",DPC,"0,012200"
"32,981752100",Interrupt,"0,002400"
"32,981755700",DPC,"0,007700"
"33,462752700",Interrupt,"0,002900"
"33,462756800",DPC,"0,013900"
"33,481766900",Interrupt,"0,003300"
"33,481786700",DPC,"0,007500"
"33,962753200",Interrupt,"0,002900"
"33,962757300",DPC,"0,011800"
"33,981771300",Interrupt,"0,003500"
"33,981790700",DPC,"0,007900"
"34,462754000",Interrupt,"0,003000"
"34,462758200",DPC,"0,012200"
"34,481762000",Interrupt,"0,002000"
"34,481832700",DPC,"0,012200"
"34,962754200",Interrupt,"0,002800"
"34,962758200",DPC,"0,012300"
"34,981754200",Interrupt,"0,002100"
"34,981757500",DPC,"0,007800"
"35,462754800",Interrupt,"0,002900"
"35,462758900",DPC,"0,014400"
"35,481788500",Interrupt,"0,003500"
"35,481808400",DPC,"0,013000"
"35,962755100",Interrupt,"0,002800"
"35,962759100",DPC,"0,013000"
"35,981754600",Interrupt,"0,002900"
"35,981758900",DPC,"0,010600"
"36,462755600",Interrupt,"0,004500"
"36,462761300",DPC,"0,015000"
"36,481779200",Interrupt,"0,003200"
"36,481798900",DPC,"0,007400"
"36,962756400",Interrupt,"0,002800"
"36,962760400",DPC,"0,012000"
"36,981755900",Interrupt,"0,002500"
"36,981759600",DPC,"0,010800"
"37,462756600",Interrupt,"0,002800"
"37,462760600",DPC,"0,013200"
"37,481756300",Interrupt,"0,002500"
"37,481760000",DPC,"0,009800"
"37,962757000",Interrupt,"0,002800"
"37,962761000",DPC,"0,012600"
"37,981757000",Interrupt,"0,002900"
"37,981761100",DPC,"0,011100"
"38,462758600",Interrupt,"0,002900"
"38,462762800",DPC,"0,012300"
"38,481757200",Interrupt,"0,002100"
"38,481780900",DPC,"0,010600"
"38,962758100",Interrupt,"0,002600"
"38,962761900",DPC,"0,011900"
"38,981758000",Interrupt,"0,002500"
"38,981761700",DPC,"0,011100"
"39,462758600",Interrupt,"0,003200"
"39,462763000",DPC,"0,014500"
"39,481776200",Interrupt,"0,002100"
"39,481810300",DPC,
"39,962759600",Interrupt,"0,005800"
"39,962767900",DPC,"0,013000"
"39,981760100",Interrupt,"0,002800"
"39,981764100",DPC,
"40,462759800",Interrupt,"0,002800"
"40,462763800",DPC,"0,012400"
"40,481759200",Interrupt,"0,002400"
"40,481762700",DPC,"0,007600"
"40,962760600",Interrupt,"0,002900"
"40,962764600",DPC,"0,013600"
"40,981760000",Interrupt,"0,002300"
"40,981763500",DPC,"0,009600"
"41,462760500",Interrupt,"0,003100"
"41,462764700",DPC,"0,013700"
"41,481760400",Interrupt,"0,002700"
"41,481764200",DPC,"0,011000"
"41,962760900",Interrupt,"0,002900"
"41,962764900",DPC,"0,012200"
"41,981760900",Interrupt,"0,002200"
"41,981764300",DPC,"0,007900"
"42,462762500",Interrupt,"0,003100"
"42,462766800",DPC,"0,012700"
"42,481761400",Interrupt,"0,002800"
"42,481765700",DPC,
"42,962761800",Interrupt,"0,003000"
"42,962765900",DPC,"0,012300"
"42,981761800",Interrupt,"0,002300"
"42,981765300",DPC,"0,009100"
"43,462762300",Interrupt,"0,002800"
"43,462766300",DPC,
"43,481762400",Interrupt,"0,002300"
"43,481765900",DPC,"0,013600"
"43,962763200",Interrupt,"0,003000"
"43,962767400",DPC,"0,012300"
"43,981762600",Interrupt,"0,002300"
"43,981766100",DPC,"0,007800"
"44,462763700",Interrupt,"0,003500"
"44,462768400",DPC,"0,012400"
"44,481763500",Interrupt,"0,002200"
"44,481766900",DPC,"0,009300"
"44,962763800",Interrupt,"0,002800"
"44,962767800",DPC,"0,012000"
"44,981763500",Interrupt,"0,002200"
"44,981766800",DPC,"0,007400"
"45,462764300",Interrupt,"0,003000"
"45,462768400",DPC,"0,013600"
"45,481764300",Interrupt,"0,002200"
"45,481767700",DPC,"0,008200"
"45,962764800",Interrupt,"0,002900"
"45,962768800",DPC,"0,012600"
"45,981764600",Interrupt,"0,002300"
"45,981768100",DPC,"0,007600"
"46,462765400",Interrupt,"0,002700"
"46,462769300",DPC,"0,012600"
"46,481765200",Interrupt,"0,002400"
"46,481768800",DPC,"0,007600"
"46,962765600",Interrupt,"0,002800"
"46,962769600",DPC,"0,012100"
"46,981768600",Interrupt,"0,002800"
"46,981772800",DPC,"0,008700"
"47,462766400",Interrupt,"0,002800"
"47,462770300",DPC,"0,013000"
"47,481766000",Interrupt,"0,002300"
"47,481769500",DPC,"0,009700"
"47,962766900",Interrupt,"0,003200"
"47,962771300",DPC,"0,012300"
"47,981766600",Interrupt,"0,002400"
"47,981770100",DPC,"0,008400"
"48,462767400",Interrupt,"0,004700"
