Timestamp (Elapsed time in seconds),PC + DisplayLatency(MSec),Mouse Latency(MSec),System Latency (MSec),
2.465,5.600,-0.001,N/A
2.465,3.900,-0.001,N/A
2.465,5.500,-0.001,N/A
4.011,5.400,-0.001,N/A
4.011,7.000,-0.001,N/A
5.008,5.200,-0.001,N/A
5.008,5.200,-0.001,N/A
5.008,5.100,-0.001,N/A
6.450,5.000,-0.001,N/A
6.450,6.600,-0.001,N/A
7.558,4.800,-0.001,N/A
7.558,4.800,-0.001,N/A
9.000,4.700,-0.001,N/A
9.000,6.300,-0.001,N/A
9.000,6.200,-0.001,N/A
9.999,6.100,-0.001,N/A
9.999,4.400,-0.001,N/A
9.999,6.000,-0.001,N/A
11.551,5.900,-0.001,N/A
11.551,5.800,-0.001,N/A
11.551,4.100,-0.001,N/A
12.547,5.600,-0.001,N/A
12.547,5.600,-0.001,N/A
14.099,5.500,-0.001,N/A
14.099,3.700,-0.001,N/A
15.097,5.300,-0.001,N/A
15.097,5.200,-0.001,N/A
15.097,5.200,-0.001,N/A
16.644,5.100,-0.001,N/A
16.644,5.000,-0.001,N/A
17.639,4.900,-0.001,N/A
17.639,4.800,-0.001,N/A
17.639,6.400,-0.001,N/A
19.191,6.300,-0.001,N/A
19.191,4.600,-0.001,N/A
20.191,4.500,-0.001,N/A
20.191,6.100,-0.001,N/A
21.737,6.000,-0.001,N/A
21.737,4.300,-0.001,N/A
21.737,5.900,-0.001,N/A
21.737,4.100,-0.001,N/A
22.732,5.700,-0.001,N/A
22.732,5.600,-0.001,N/A
24.170,5.500,-0.001,N/A
24.170,5.500,-0.001,N/A
24.170,5.400,-0.001,N/A
25.278,5.300,-0.001,N/A
25.278,5.200,-0.001,N/A
26.275,5.200,-0.001,N/A
26.275,6.700,-0.001,N/A
27.715,5.000,-0.001,N/A
27.715,4.900,-0.001,N/A
27.715,4.800,-0.001,N/A
28.822,6.400,-0.001,N/A
28.822,4.700,-0.001,N/A
30.261,4.600,-0.001,N/A
30.261,4.500,-0.001,N/A
30.261,6.100,-0.001,N/A
31.810,4.400,-0.001,N/A
31.810,5.900,-0.001,N/A
32.805,4.200,-0.001,N/A
32.805,7.500,-0.001,N/A
33.804,4.000,-0.001,N/A
33.804,5.600,-0.001,N/A
33.804,5.500,-0.001,N/A
33.804,5.500,-0.001,N/A
35.354,5.400,-0.001,N/A
35.354,3.600,-0.001,N/A
36.350,5.200,-0.001,N/A
36.350,6.800,-0.001,N/A
36.350,5.100,-0.001,N/A
37.897,5.000,-0.001,N/A
