DPC/ISR Enter Time (s),Type,Duration (Fragmented) (ms)
"20,964289900",DPC,"0,032300"
"20,983254100",Interrupt,"0,002900"
"20,983258200",DPC,"0,016800"
"21,464254600",Interrupt,"0,004300"
"21,464260100",DPC,"0,029300"
"21,483254400",Interrupt,"0,003500"
"21,483259000",DPC,"0,014600"
"21,964251400",Interrupt,"0,004300"
"21,964256900",DPC,"0,028700"
"21,983254900",Interrupt,"0,002600"
"21,983258700",DPC,"0,013500"
"22,464255700",Interrupt,"0,004300"
"22,464261100",DPC,
"22,483255500",Interrupt,"0,003200"
"22,483259900",DPC,"0,014100"
"22,964256200",Interrupt,"0,004200"
"22,964261600",DPC,"0,028400"
"22,983256000",Interrupt,"0,002800"
"22,983259900",DPC,"0,014100"
"23,464268600",Interrupt,"0,003700"
"23,464328300",DPC,"0,028700"
"23,483256500",Interrupt,"0,002900"
"23,483260500",DPC,"0,013500"
"23,964257200",Interrupt,"0,004200"
"23,964262600",DPC,
"23,983279600",Interrupt,"0,002500"
"23,983308700",DPC,"0,018400"
"24,464258700",Interrupt,"0,004200"
"24,464264000",DPC,"0,028200"
"24,483257200",Interrupt,"0,002900"
"24,483261300",DPC,"0,015000"
"24,964257700",Interrupt,"0,008400"
"24,964268100",DPC,"0,026200"
"24,983258000",Interrupt,"0,003600"
"24,983262800",DPC,"0,017100"
"25,464258500",Interrupt,"0,004300"
"25,464264000",DPC,"0,028200"
"25,483264000",Interrupt,"0,002900"
"25,483288400",DPC,"0,016000"
"25,964259000",Interrupt,"0,003800"
"25,964263900",DPC,"0,028500"
"25,983258800",Interrupt,"0,003200"
"25,983263100",DPC,"0,015000"
"26,464260200",Interrupt,"0,005500"
"26,464266900",DPC,"0,027400"
"26,483260800",Interrupt,"0,002800"
"26,483264800",DPC,"0,012100"
"26,964260000",Interrupt,"0,003800"
"26,964265000",DPC,"0,029300"
"26,983259800",Interrupt,"0,002800"
"26,983263800",DPC,"0,012800"
"27,464260400",Interrupt,"0,004200"
"27,464265800",DPC,"0,028100"
"27,483260300",Interrupt,"0,002700"
"27,483264200",DPC,"0,013300"
"27,964260800",Interrupt,"0,004300"
"27,964266300",DPC,
"27,983260700",Interrupt,"0,002900"
"27,983264800",DPC,"0,013900"
"28,464260900",Interrupt,"0,005200"
"28,464295600",DPC,"0,024200"
"28,483261200",Interrupt,"0,002400"
"28,483265000",DPC,"0,013100"
"28,964258300",Interrupt,"0,004400"
"28,964264000",DPC,"0,029600"
"28,983270200",Interrupt,"0,002800"
"28,983280900",DPC,"0,014800"
"29,464262400",Interrupt,"0,004400"
"29,464268000",DPC,"0,028500"
"29,483262500",Interrupt,"0,002800"
"29,483266500",DPC,"0,016400"
"29,964262900",Interrupt,"0,004200"
"29,964268200",DPC,
"29,983262300",Interrupt,"0,003100"
"29,983266600",DPC,"0,015600"
"30,464263300",Interrupt,"0,004600"
"30,464269200",DPC,
"30,483263200",Interrupt,"0,004000"
"30,483268500",DPC,"0,027800"
"30,964263900",Interrupt,"0,003800"
"30,964268900",DPC,"0,029700"
"30,983263700",Interrupt,"0,003000"
"30,983267800",DPC,
"31,464264700",Interrupt,"0,004500"
"31,464270300",DPC,"0,028900"
"31,483264300",Interrupt,"0,003400"
"31,483268900",DPC,"0,018700"
"31,964265200",Interrupt,"0,004300"
"31,964270700",DPC,"0,028800"
"31,983264600",Interrupt,"0,003100"
"31,983269000",DPC,"0,014200"
"32,464265200",Interrupt,"0,003900"
"32,464270300",DPC,"0,028300"
"32,483261900",Interrupt,
"32,483270900",DPC,"0,018600"
"32,964276700",Interrupt,"0,003800"
"32,964301300",DPC,"0,032300"
"32,983266600",Interrupt,"0,002600"
"32,983270400",DPC,"0,014700"
"33,464266200",Interrupt,"0,004300"
"33,464271700",DPC,"0,028400"
"33,483266000",Interrupt,"0,003000"
"33,483270300",DPC,"0,016400"
"33,964266700",Interrupt,"0,004100"
"33,964272000",DPC,"0,028500"
"33,983266200",Interrupt,"0,003400"
"33,983271300",DPC,"0,013400"
"34,464267200",Interrupt,"0,004100"
"34,464272500",DPC,
"34,483287900",Interrupt,"0,002800"
"34,483316700",DPC,"0,021200"
"34,964267900",Interrupt,"0,004300"
"34,964273500",DPC,"0,029000"
"34,983267200",Interrupt,"0,002600"
"34,983271000",DPC,"0,013500"
"35,464268000",Interrupt,"0,004500"
"35,464273700",DPC,"0,028300"
"35,483267800",Interrupt,"0,003900"
"35,483272900",DPC,"0,018000"
"35,964268500",Interrupt,"0,004300"
"35,964274000",DPC,
"35,983268400",Interrupt,"0,003100"
"35,983272700",DPC,"0,015800"
"36,464269000",Interrupt,"0,004100"
"36,464274300",DPC,"0,028200"
"36,483268900",Interrupt,"0,003100"
"36,483273200",DPC,"0,015400"
"36,964269600",Interrupt,"0,004400"
"36,964275200",DPC,"0,029200"
"36,983269500",Interrupt,"0,002700"
"36,983273400",DPC,"0,014600"
"37,464270000",Interrupt,"0,004200"
"37,464275400",DPC,"0,029500"
"37,483269900",Interrupt,"0,003200"
"37,483274300",DPC,"0,017000"
"37,964270500",Interrupt,"0,004200"
"37,964275900",DPC,"0,029400"
"37,983274400",Interrupt,"0,002700"
"37,983285800",DPC,"0,018800"
"38,464270800",Interrupt,"0,004800"
"38,464276900",DPC,
"38,483271000",Interrupt,"0,003100"
"38,483279200",DPC,"0,015500"
"38,964269300",Interrupt,"0,004200"
"38,964276300",DPC,"0,029500"
"38,983271100",Interrupt,"0,002900"
"38,983275200",DPC,"0,015300"
"39,464272300",Interrupt,"0,004800"
"39,464278300",DPC,
"39,483272800",Interrupt,"0,003300"
"39,483277300",DPC,"0,016200"
"39,964272500",Interrupt,"0,004800"
"39,964278500",DPC,"0,028800"
"39,983272300",Interrupt,"0,002900"
"39,983276400",DPC,"0,014200"
"40,464272900",Interrupt,"0,004300"
"40,464294100",DPC,"0,024000"
"40,483272800",Interrupt,"0,002700"
"40,483276700",DPC,"0,013900"
"40,964273400",Interrupt,"0,007900"
"40,964283000",DPC,"0,028500"
"40,983273200",Interrupt,"0,002800"
"40,983277100",DPC,"0,014700"
"41,464273800",Interrupt,"0,004200"
"41,464279200",DPC,"0,029300"
"41,483287800",Interrupt,"0,004400"
"41,483308300",DPC,"0,016100"
"41,964275400",Interrupt,"0,004600"
"41,964281200",DPC,"0,028100"
